,x,y,name,1128,1307,1131,1070,1107,1139,1145,1092,1140,1138,1129,1122,1399,1311,1200,1692,1105,1103,1433,1121,1137,1309,1658,1654,1134,1054,1308,1167,1507,1651,1117,1383,1414,1360,1106,1132,1404,1259,1344,1642,1412,1244,1403
65,1488,,/Users/akshitshishodia/tracker/roboDK /pred/65.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1488,,/Users/akshitshishodia/tracker/roboDK /pred/66.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1472,,/Users/akshitshishodia/tracker/roboDK /pred/67.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1477,,/Users/akshitshishodia/tracker/roboDK /pred/68.png,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1469,,/Users/akshitshishodia/tracker/roboDK /pred/69.png,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1472,,/Users/akshitshishodia/tracker/roboDK /pred/70.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1472,,/Users/akshitshishodia/tracker/roboDK /pred/71.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1477,,/Users/akshitshishodia/tracker/roboDK /pred/72.png,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1472,,/Users/akshitshishodia/tracker/roboDK /pred/73.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1488,,/Users/akshitshishodia/tracker/roboDK /pred/74.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1472,,/Users/akshitshishodia/tracker/roboDK /pred/75.png,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1452,,/Users/akshitshishodia/tracker/roboDK /pred/76.png,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1477,,/Users/akshitshishodia/tracker/roboDK /pred/77.png,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
